episode,reward,moving_avg_reward,epsilon,loss,steps
1,-391.25768797347115,-391.25768797347115,0.838759915232836,1.399850642681122,93
2,-107.77292765823557,-249.51530781585336,0.7495672884832951,1.5204290767510733,153
3,-60.960602098049726,-186.66373924325217,0.6193309984532614,1.461303423041279,256
4,-214.876691197134,-193.71697723172264,0.5068988285214892,1.531517121060328,366
5,-174.1591288036651,-189.80540754611113,0.4218393791657062,1.4606996751526027,469
6,-130.0409233143499,-179.84466017415093,0.36622752951317555,1.4416974981625874,550
7,-131.00092051165694,-172.8669830795089,0.2263484706840051,1.317067011935662,842
8,-305.95935612550403,-189.5035297102583,0.18761528258013832,1.0551202679353375,966
9,-226.3971995217976,-193.6028263559849,0.15463331339176925,1.0615291001587888,1103
10,-34.48331714791125,-177.69087543517753,0.11073146814637219,1.1513332721284206,1375
11,-37.817661480881796,-164.97512871205973,0.08713136330516752,1.1534114427925126,1621
12,-51.073517131152464,-155.48332774698412,0.06365986518263883,1.0423961454629898,2121
13,-27.850417257030607,-145.66541155544923,0.055025183569866416,1.032242689371109,2621
14,-9.627583243027571,-135.9484238188477,0.051848661723466374,1.0127547866106033,3121
15,75.97324389658752,-121.82031263781867,0.050680084641743846,0.9575470048189163,3621
16,57.8236102088124,-110.59256745990423,0.05025018915795401,0.918080416560173,4121
17,-3.1000761462749313,-104.2694797355731,0.050092039447615276,0.9239954172968864,4621
18,-35.578810592739686,-100.45333144986013,0.05003385942055444,0.7893660334348679,5121
19,77.34912225613948,-91.09530757059699,0.05001245618471196,0.8610255611538887,5621
20,-23.713042967842,-87.72619434045924,0.0500086903851867,0.7820683889918857,5801
21,51.09843366493973,-65.60838825853871,0.05000319701404605,0.861911994934082,6301
22,93.13436477556417,-55.56302363684872,0.05000117611574068,0.8260510619878769,6801
23,50.413367662254,-49.99432514883354,0.050000432668801435,0.7390263143777848,7301
24,73.20980505296008,-35.59000033632883,0.050000159169956884,0.7600999504923821,7801
25,32.30061138791938,-25.267013326749606,0.05000005855535479,0.6808408113121986,8301
26,41.44354382813235,-16.69278996962549,0.0500000215413112,0.6770834930241107,8801
27,52.389782839960475,-7.523254802044617,0.05000000792460553,0.6709213160872459,9301
28,47.35409297351044,10.142417652906104,0.050000002915299456,0.6279925190210343,9801
29,45.80679593036734,23.752617425514348,0.050000001072478734,0.7221839084625244,10301
30,91.89760708999393,30.071663637409614,0.05000000039454288,0.6327599920630455,10801
31,-20.791481964919626,30.92297261320772,0.05000000014514422,0.6450703535974026,11301
32,14.392842064259682,34.19629057297833,0.050000000053395575,0.6308818546235562,11801
33,20.84300297817386,36.63096158473855,0.05000000001964314,0.6206010727882385,12301
34,41.75730072346155,39.200205783063005,0.050000000007226306,0.5621498279571533,12801
35,72.62119931907831,39.03260355418754,0.05000000000265841,0.5577722668647767,13301
36,-42.816215471054875,34.000612270194175,0.05000000000097798,0.5141491053700447,13801
37,-165.358539123455,25.88768912133518,0.050000000000370734,0.5141802825264095,14286
38,86.18354457335913,31.97580687964011,0.05000000000013639,0.5688218070566654,14786
39,-76.53778144291223,24.281461694687533,0.05000000000005864,0.49225991886656434,15208
40,5.124138930719297,25.72332078961559,0.050000000000021576,0.5403315572440625,15708
41,23.637212035604147,24.35025970814882,0.05000000000000794,0.5371109906733036,16208
42,62.907405983743814,22.838911768557807,0.050000000000002924,0.5294945679306984,16708
43,110.65613197438623,25.851049984164415,0.05000000000000108,0.5652408310472965,17208
44,70.87965699298981,25.734542581165897,0.0500000000000004,0.4825036073327065,17708
45,270.3791089897868,37.638467461259275,0.05000000000000018,0.5312917765142401,18091
46,46.348643454324765,37.883722442568896,0.05000000000000007,0.5127482582330704,18591
47,51.38309483089399,37.83338804211557,0.05000000000000003,0.550057256758213,19091
48,273.69571534163225,49.150469160521666,0.05000000000000002,0.49077195162956533,19416
49,-10.482730838694755,46.335992822068555,0.05000000000000001,0.5045859370529652,19916
50,-69.41187864618585,38.27051853525957,0.05,0.48988272284279394,20390
