episode,reward,moving_avg_reward,epsilon,loss,steps
157,18.0,24.0,1.0,0.0,18
158,14.0,24.0,1.0,0.0,14
159,63.0,24.25,1.0,0.0,63
160,24.0,24.7,1.0,0.0,24
161,19.0,21.6,1.0,0.0,19
162,25.0,22.05,1.0,0.0,25
163,18.0,22.0,1.0,0.0,18
164,15.0,22.15,1.0,0.0,15
165,28.0,22.95,1.0,0.0,28
166,15.0,23.05,1.0,0.0,15
167,14.0,22.8,1.0,0.0,14
168,16.0,22.95,1.0,0.0,16
169,17.0,22.5,1.0,0.0,17
170,9.0,22.0,1.0,0.0,9
171,26.0,21.6,1.0,0.0,26
172,17.0,21.85,1.0,0.0,17
173,17.0,21.2,1.0,0.0,17
174,13.0,21.05,1.0,0.0,13
175,32.0,22.1,1.0,0.0,32
176,10.0,20.5,1.0,0.0,10
177,12.0,20.2,1.0,0.0,12
178,21.0,20.55,1.0,0.0,21
179,13.0,18.05,1.0,0.0,13
180,18.0,17.75,1.0,0.0,18
181,19.0,17.75,1.0,0.0,19
182,14.0,17.2,1.0,0.0,14
183,51.0,18.85,1.0,0.0,51
184,22.0,19.2,1.0,0.0,22
185,50.0,20.3,1.0,0.0,50
186,13.0,20.2,1.0,0.0,13
187,33.0,21.15,1.0,0.0,33
188,20.0,21.35,1.0,0.0,20
189,27.0,21.85,1.0,0.0,27
190,16.0,22.2,1.0,0.0,16
191,31.0,22.45,1.0,0.0,31
192,15.0,22.35,1.0,0.0,15
193,13.0,22.15,1.0,0.0,13
194,29.0,22.95,1.0,0.0,29
195,9.0,21.8,1.0,0.0,9
196,14.0,22.0,1.0,0.0,14
197,19.0,22.35,1.0,0.0,19
198,11.0,21.85,1.0,0.0,11
199,17.0,22.05,1.0,0.0,17
200,11.0,21.7,1.0,0.0,11
201,23.0,21.9,1.0,0.0,23
202,16.0,22.0,1.0,0.0,16
203,32.0,21.05,1.0,0.0,32
204,18.0,20.85,1.0,0.0,18
205,19.0,19.3,1.0,0.0,19
206,16.0,19.45,1.0,0.0,16
207,12.0,18.4,1.0,0.0,12
208,10.0,17.9,1.0,0.0,10
209,25.0,17.8,1.0,0.0,25
210,12.0,17.6,1.0,0.0,12
211,33.0,17.7,1.0,0.0,33
212,12.0,17.55,1.0,0.0,12
213,18.0,17.8,1.0,0.0,18
214,10.0,16.85,1.0,0.0,10
215,15.0,17.15,1.0,0.0,15
216,43.0,18.6,1.0,0.0,43
217,10.0,18.15,1.0,0.0,10
218,39.0,19.55,1.0,0.0,39
219,17.0,19.55,1.0,0.0,17
220,30.0,20.5,1.0,0.0,30
221,45.0,21.6,1.0,0.0,45
222,15.0,21.55,1.0,0.0,15
223,48.0,22.35,1.0,0.0,48
224,18.0,22.35,1.0,0.0,18
225,18.0,22.3,1.0,0.0,18
226,52.0,24.1,1.0,0.0,52
227,14.0,24.2,1.0,0.0,14
228,10.0,24.2,1.0,0.0,10
229,18.0,23.85,1.0,0.0,18
230,24.0,24.45,1.0,0.0,24
231,26.0,24.1,1.0,0.0,26
232,40.0,25.5,1.0,0.0,40
233,12.0,25.2,1.0,0.0,12
234,11.0,25.25,1.0,0.0,11
235,15.0,25.25,1.0,0.0,15
236,31.0,24.65,1.0,0.0,31
237,22.0,25.25,1.0,0.0,22
238,41.0,25.35,1.0,0.0,41
239,44.0,26.7,1.0,0.0,44
240,16.0,26.0,1.0,0.0,16
241,27.0,25.1,1.0,0.0,27
242,27.0,25.7,1.0,0.0,27
243,17.0,24.15,1.0,0.0,17
244,12.0,23.85,1.0,0.0,12
245,21.0,24.0,1.0,0.0,21
246,31.0,22.95,1.0,0.0,31
247,23.0,23.4,1.0,0.0,23
248,10.0,23.4,1.0,0.0,10
249,13.0,23.15,1.0,0.0,13
250,21.0,23.0,1.0,0.0,21
251,13.0,22.35,1.0,0.0,13
252,33.0,22.0,1.0,0.0,33
253,11.0,21.95,1.0,0.0,11
254,21.0,22.45,1.0,0.0,21
255,25.0,22.95,1.0,0.0,25
256,27.0,22.75,1.0,0.0,27
257,10.0,22.15,1.0,0.0,10
258,15.0,20.85,1.0,0.0,15
259,19.0,19.6,1.0,0.0,19
260,17.0,19.65,1.0,0.0,17
261,24.0,19.5,1.0,0.0,24
262,20.0,19.15,1.0,0.0,20
263,24.0,19.5,1.0,0.0,24
264,24.0,20.1,1.0,0.0,24
265,12.0,19.65,1.0,0.0,12
266,16.0,18.9,1.0,0.0,16
267,25.0,19.0,1.0,0.0,25
268,14.0,19.2,1.0,0.0,14
269,34.0,20.25,1.0,0.0,34
270,17.0,20.05,1.0,0.0,17
271,17.0,20.25,1.0,0.0,17
272,17.0,19.45,1.0,0.0,17
273,20.0,19.9,1.0,0.0,20
274,23.0,20.0,1.0,0.0,23
275,14.0,19.45,1.0,0.0,14
276,16.0,18.9,1.0,0.0,16
277,20.0,19.4,1.0,0.0,20
278,16.0,19.45,1.0,0.0,16
279,21.0,19.55,1.0,0.0,21
280,20.0,19.7,1.0,0.0,20
281,19.0,19.45,1.0,0.0,19
282,40.0,20.45,1.0,0.0,40
283,21.0,20.3,1.0,0.0,21
284,18.0,20.0,1.0,0.0,18
285,12.0,20.0,1.0,0.0,12
286,11.0,19.75,1.0,0.0,11
287,12.0,19.1,1.0,0.0,12
288,18.0,19.3,1.0,0.0,18
289,10.0,18.1,1.0,0.0,10
290,11.0,17.8,1.0,0.0,11
291,22.0,18.05,1.0,0.0,22
292,32.0,18.8,1.0,0.0,32
293,28.0,19.2,1.0,0.0,28
294,12.0,18.65,1.0,0.0,12
295,26.0,19.25,1.0,0.0,26
296,13.0,19.1,1.0,0.0,13
297,12.0,18.7,1.0,0.0,12
298,70.0,21.4,1.0,0.0,70
299,33.0,22.0,1.0,0.0,33
300,45.0,23.25,1.0,0.0,45
