episode,reward,moving_avg_reward,epsilon,loss,steps
1,18.0,18.0,1.0,0.0,18
2,27.0,22.5,1.0,0.0,27
3,21.0,22.0,1.0,0.0,21
4,26.0,23.0,1.0,0.0,26
5,16.0,21.6,1.0,0.0,16
6,12.0,20.0,1.0,0.0,12
7,19.0,19.857142857142858,1.0,0.0,19
8,14.0,19.125,1.0,0.0,14
9,10.0,18.11111111111111,1.0,0.0,10
10,22.0,18.5,1.0,0.0,22
11,15.0,18.181818181818183,1.0,0.0,15
12,26.0,18.833333333333332,1.0,0.0,26
13,22.0,19.076923076923077,1.0,0.0,22
14,23.0,19.357142857142858,1.0,0.0,23
15,20.0,19.4,1.0,0.0,20
16,15.0,19.125,1.0,0.0,15
17,13.0,18.764705882352942,1.0,0.0,13
18,12.0,18.38888888888889,1.0,0.0,12
19,15.0,18.210526315789473,1.0,0.0,15
20,11.0,17.85,1.0,0.0,11
21,29.0,18.4,1.0,0.0,29
22,16.0,17.85,1.0,0.0,16
23,17.0,17.65,1.0,0.0,17
24,14.0,17.05,1.0,0.0,14
25,13.0,16.9,1.0,0.0,13
26,29.0,17.75,1.0,0.0,29
27,33.0,18.45,1.0,0.0,33
28,12.0,18.35,1.0,0.0,12
29,17.0,18.7,1.0,0.0,17
30,20.0,18.6,1.0,0.0,20
31,23.0,19.0,1.0,0.0,23
32,15.0,18.45,1.0,0.0,15
33,42.0,19.45,1.0,0.0,42
34,21.0,19.35,1.0,0.0,21
35,13.0,19.0,1.0,0.0,13
36,10.0,18.75,1.0,0.0,10
37,16.0,18.9,1.0,0.0,16
38,18.0,19.2,1.0,0.0,18
39,10.0,18.95,1.0,0.0,10
40,49.0,20.85,1.0,0.0,49
41,16.0,20.2,1.0,0.0,16
42,25.0,20.65,1.0,0.0,25
43,9.0,20.25,1.0,0.0,9
44,12.0,20.15,1.0,0.0,12
45,18.0,20.4,1.0,0.0,18
46,61.0,22.0,1.0,0.0,61
47,19.0,21.3,1.0,0.0,19
48,17.0,21.55,1.0,0.0,17
49,21.0,21.75,1.0,0.0,21
50,38.0,22.65,1.0,0.0,38
51,29.0,22.95,1.0,0.0,29
52,21.0,23.25,1.0,0.0,21
53,13.0,21.8,1.0,0.0,13
54,12.0,21.35,1.0,0.0,12
55,15.0,21.45,1.0,0.0,15
56,14.0,21.65,1.0,0.0,14
57,18.0,21.75,1.0,0.0,18
58,24.0,22.05,1.0,0.0,24
59,14.0,22.25,1.0,0.0,14
60,40.0,21.8,1.0,0.0,40
61,15.0,21.75,1.0,0.0,15
62,29.0,21.95,1.0,0.0,29
63,20.0,22.5,1.0,0.0,20
64,11.0,22.45,1.0,0.0,11
