episode,reward,moving_avg_reward,epsilon,loss,steps
1,14.0,14.0,1.0,0.0,14
2,12.0,13.0,1.0,0.0,12
3,30.0,18.666666666666668,1.0,0.0,30
4,35.0,22.75,1.0,0.0,35
5,12.0,20.6,1.0,0.0,12
6,33.0,22.666666666666668,1.0,0.0,33
7,21.0,22.428571428571427,1.0,0.0,21
8,9.0,20.75,1.0,0.0,9
9,46.0,23.555555555555557,1.0,0.0,46
10,12.0,22.4,1.0,0.0,12
11,19.0,22.09090909090909,1.0,0.0,19
12,28.0,22.583333333333332,1.0,0.0,28
13,15.0,22.0,1.0,0.0,15
14,14.0,21.428571428571427,1.0,0.0,14
15,9.0,20.6,1.0,0.0,9
16,17.0,20.375,1.0,0.0,17
17,14.0,20.0,1.0,0.0,14
18,33.0,20.72222222222222,1.0,0.0,33
19,38.0,21.63157894736842,1.0,0.0,38
20,14.0,21.25,1.0,0.0,14
21,44.0,22.75,1.0,0.0,44
22,13.0,22.8,1.0,0.0,13
23,55.0,24.05,1.0,0.0,55
24,48.0,24.7,1.0,0.0,48
25,21.0,25.15,1.0,0.0,21
26,32.0,25.1,1.0,0.0,32
27,9.0,24.5,1.0,0.0,9
28,21.0,25.1,1.0,0.0,21
29,28.0,24.2,1.0,0.0,28
30,25.0,24.85,1.0,0.0,25
31,17.0,24.75,1.0,0.0,17
32,14.0,24.05,1.0,0.0,14
33,10.0,23.8,1.0,0.0,10
34,50.0,25.6,1.0,0.0,50
35,59.0,28.1,1.0,0.0,59
36,19.0,28.2,1.0,0.0,19
37,15.0,28.25,1.0,0.0,15
38,10.0,27.1,1.0,0.0,10
39,35.0,26.95,1.0,0.0,35
40,13.0,26.9,1.0,0.0,13
41,17.0,25.55,1.0,0.0,17
42,28.0,26.3,1.0,0.0,28
43,37.0,25.4,1.0,0.0,37
44,14.0,23.7,1.0,0.0,14
45,27.0,24.0,1.0,0.0,27
46,14.0,23.1,1.0,0.0,14
47,10.0,23.15,1.0,0.0,10
48,18.0,23.0,1.0,0.0,18
49,12.0,22.2,1.0,0.0,12
50,18.0,21.85,1.0,0.0,18
51,18.0,21.9,1.0,0.0,18
52,12.0,21.8,1.0,0.0,12
53,10.0,21.8,1.0,0.0,10
54,17.0,20.15,1.0,0.0,17
55,30.0,18.7,1.0,0.0,30
56,30.0,19.25,1.0,0.0,30
57,11.0,19.05,1.0,0.0,11
58,21.0,19.6,1.0,0.0,21
59,26.0,19.15,1.0,0.0,26
60,26.0,19.8,1.0,0.0,26
61,19.0,19.9,1.0,0.0,19
62,19.0,19.45,1.0,0.0,19
63,34.0,19.3,1.0,0.0,34
64,15.0,19.35,1.0,0.0,15
65,34.0,19.7,1.0,0.0,34
66,33.0,20.65,1.0,0.0,33
67,20.0,21.15,1.0,0.0,20
68,12.0,20.85,1.0,0.0,12
69,39.0,22.2,1.0,0.0,39
70,20.0,22.3,1.0,0.0,20
71,52.0,24.0,1.0,0.0,52
72,29.0,24.85,1.0,0.0,29
73,16.0,25.15,1.0,0.0,16
74,16.0,25.1,1.0,0.0,16
75,9.0,24.05,1.0,0.0,9
76,46.0,24.85,1.0,0.0,46
77,32.0,25.9,1.0,0.0,32
78,8.0,25.25,1.0,0.0,8
79,15.0,24.7,1.0,0.0,15
80,13.0,24.05,1.0,0.0,13
81,12.0,23.7,1.0,0.0,12
82,16.0,23.55,1.0,0.0,16
83,18.0,22.75,1.0,0.0,18
84,24.0,23.2,1.0,0.0,24
85,14.0,22.2,1.0,0.0,14
86,39.0,22.5,1.0,0.0,39
87,13.0,22.15,1.0,0.0,13
88,13.0,22.2,1.0,0.0,13
89,14.0,20.95,1.0,0.0,14
90,12.0,20.55,1.0,0.0,12
91,23.0,19.1,1.0,0.0,23
92,14.0,18.35,1.0,0.0,14
93,13.0,18.2,1.0,0.0,13
94,86.0,21.7,1.0,0.0,86
95,18.0,22.15,1.0,0.0,18
96,23.0,21.0,1.0,0.0,23
97,24.0,20.6,1.0,0.0,24
98,14.0,20.9,1.0,0.0,14
99,16.0,20.95,1.0,0.0,16
100,15.0,21.05,1.0,0.0,15
101,22.0,21.55,1.0,0.0,22
102,38.0,22.65,1.0,0.0,38
103,30.0,23.25,1.0,0.0,30
104,10.0,22.55,1.0,0.0,10
105,62.0,24.95,1.0,0.0,62
106,18.0,23.9,1.0,0.0,18
107,24.0,24.45,1.0,0.0,24
108,16.0,24.6,1.0,0.0,16
109,24.0,25.1,1.0,0.0,24
110,39.0,26.45,1.0,0.0,39
111,20.0,26.3,1.0,0.0,20
112,15.0,26.35,1.0,0.0,15
113,30.0,27.2,1.0,0.0,30
114,36.0,24.7,1.0,0.0,36
115,20.0,24.8,1.0,0.0,20
116,15.0,24.4,1.0,0.0,15
117,46.0,25.5,1.0,0.0,46
118,31.0,26.35,1.0,0.0,31
119,19.0,26.5,1.0,0.0,19
120,17.0,26.6,1.0,0.0,17
121,26.0,26.8,1.0,0.0,26
122,17.0,25.75,1.0,0.0,17
123,13.0,24.9,1.0,0.0,13
