episode,reward,moving_avg_reward,epsilon,loss,steps
1,18.0,18.0,0.966408278808967,0.0,18
2,19.0,18.5,0.9322381091492229,0.0,37
3,21.0,19.333333333333332,0.895951462132599,0.0,58
4,12.0,17.5,0.8758903236288655,0.3944654677595411,70
5,16.0,17.2,0.8498802145100749,0.1078506640624255,86
6,26.0,18.666666666666668,0.8093493776508969,0.1711116168791285,112
7,20.0,18.857142857142858,0.7795748626738708,0.0972740713506937,132
8,14.0,18.25,0.7594301091746893,0.05629014257075531,146
9,15.0,17.88888888888889,0.7384632808134077,0.06046112179756165,161
10,33.0,19.4,0.6944917261008988,0.04606836162168871,194
11,11.0,18.636363636363637,0.6804677376295034,0.21774059703404253,205
12,12.0,18.083333333333332,0.665516642711083,0.1426334542532762,217
13,54.0,20.846153846153847,0.6025047245596803,0.06255427389879953,271
14,11.0,20.142857142857142,0.5904823516201657,0.05042902837422761,282
15,14.0,19.733333333333334,0.5755587511768302,0.045029565292809694,296
16,18.0,19.625,0.5569751479778411,0.18064333490716913,314
17,37.0,20.647058823529413,0.5208134694080189,0.09649711016666244,351
18,20.0,20.61111111111111,0.5023526092178899,0.10109193231910467,371
19,77.0,23.57894736842105,0.43778923551402654,0.1290970557284626,448
20,28.0,23.8,0.41666989865553006,0.09797018107825092,476
21,26.0,24.2,0.3980903193960515,0.137925766963655,502
22,130.0,29.75,0.3183955927731954,0.15188597050996927,632
23,113.0,34.35,0.26410402276246675,0.15997506673159326,745
24,165.0,42.0,0.20392446338718673,0.1596973903180862,910
25,230.0,52.7,0.1471699963797606,0.18058892488884537,1140
26,157.0,59.25,0.12098453132159756,0.17742377570919265,1297
27,186.0,67.55,0.0989334878201368,0.1833320165751502,1483
28,173.0,75.5,0.08462105367042072,0.20970885288723976,1656
29,177.0,83.6,0.07429965091473588,0.21614339370754057,1833
30,154.0,89.65,0.06785818567951248,0.19911786592746902,1987
31,158.0,97.0,0.0630196790324967,0.2348390724303649,2145
32,160.0,104.4,0.059454227392456004,0.20100121569121257,2305
33,130.0,108.2,0.057289697023500716,0.2538903967155,2435
34,153.0,115.3,0.055368035347994886,0.23525223116773894,2588
35,144.0,121.8,0.054024746729708105,0.27179282362663393,2732
36,176.0,129.7,0.052830524370993,0.23769114867768207,2908
37,166.0,136.15,0.05203086535321802,0.27203344907723814,3074
38,186.0,144.45,0.0513999856472363,0.2120180268426456,3260
39,268.0,154.0,0.05081910908145723,0.27798982866720034,3528
40,136.0,159.4,0.050624041744005574,0.25561636654139663,3664
41,150.0,165.6,0.05046230149442533,0.2935929542283217,3814
42,172.0,167.7,0.05032773890287864,0.26231719614385607,3986
43,154.0,169.75,0.050240860340033,0.2585675480303826,4140
44,136.0,168.3,0.05018350047638168,0.2867724644978914,4276
45,145.0,164.05,0.05013730672110973,0.2555469410622428,4421
46,129.0,162.65,0.050106082518065614,0.27367313092126866,4550
47,152.0,160.95,0.05007827413869515,0.28336912052289237,4702
48,146.0,159.6,0.050058452663957954,0.33089902594188,4848
49,159.0,158.7,0.05004253032128607,0.28306391581588386,5007
50,167.0,159.35,0.05003045399741623,0.31296636357981555,5174
51,155.0,159.2,0.0500223363917098,0.2892258856595764,5329
52,178.0,160.1,0.05001564603082757,0.28018331963809606,5507
53,203.0,163.75,0.05001042510942025,0.26772304581652573,5710
54,159.0,164.05,0.0500075853386837,0.3165235116948965,5869
55,163.0,165.0,0.05000547513681032,0.26411468063429727,6032
56,140.0,163.2,0.05000413801938349,0.2858705869975633,6172
57,168.0,163.3,0.05000295712426376,0.24505690887703427,6340
58,157.0,161.85,0.050002160235543304,0.2524044173591693,6497
59,192.0,158.05,0.05000147140431866,0.2626100015453024,6689
60,191.0,160.8,0.05000100422616875,0.2838397399151786,6880
61,154.0,161.0,0.05000073802119416,0.2906670296056704,7034
62,213.0,163.05,0.05000048201370274,0.255941861081746,7247
63,150.0,162.85,0.050000357084533605,0.21827620199571054,7397
64,168.0,164.45,0.05000025518085845,0.2794906711316712,7565
65,46.0,159.5,0.05000023275177506,0.2871446893145533,7611
66,129.0,159.5,0.050000179822911675,0.337091814712152,7740
67,145.0,159.15,0.05000013455493342,0.2356589591387531,7885
68,135.0,158.6,0.050000102716477035,0.2390624190715176,8020
69,135.0,157.4,0.0500000784116523,0.25168464488039416,8155
70,142.0,156.15,0.05000005902567641,0.21900634595494664,8297
71,137.0,155.25,0.05000004487911504,0.2337107859130432,8434
72,150.0,153.85,0.05000003324726615,0.23015990117564797,8584
