episode,reward,moving_avg_reward,epsilon,loss,steps
1,-331.81017041954124,-331.81017041954124,1.0,0.0,98
2,-122.3818778975772,-227.0960241585592,1.0,0.0,62
3,-96.93947497667709,-183.71050776459847,1.0,0.0,84
4,-126.92018254617194,-169.51292645999186,1.0,0.0,112
5,-323.9625796249266,-200.40285709297882,1.0,0.0,98
6,-97.74723629867859,-183.29358696059546,1.0,0.0,61
7,-116.2448308011292,-173.71519322352884,1.0,0.0,84
8,-212.12088094512563,-178.51590418872843,1.0,0.0,123
9,-248.1376783528103,-186.25165687362642,1.0,0.0,116
10,-105.90581279473673,-178.21707246573743,1.0,0.0,78
11,-86.00643067643537,-169.83428684852817,1.0,0.0,106
12,-114.84885129077064,-165.25216721871504,1.0,0.0,124
13,-116.73819996284575,-161.52032358364815,1.0,0.0,87
14,-99.83089959794673,-157.11393615609808,1.0,0.0,76
15,-111.89518962853093,-154.09935305426023,1.0,0.0,76
16,-181.68425037587724,-155.8234091368613,1.0,0.0,83
17,-41.38936591426503,-149.09199482964976,1.0,0.0,87
18,-82.23089433025031,-145.3774892463498,1.0,0.0,90
19,-90.66204072781929,-142.49772879800608,1.0,0.0,68
20,-83.58129304008624,-139.55190701011009,1.0,0.0,63
21,-133.76417954541836,-129.64960746640395,1.0,0.0,117
22,-117.83907279715477,-129.4224672113828,1.0,0.0,90
23,-381.3557991583068,-143.6432834204643,1.0,0.0,109
24,-140.4880314810352,-144.3216758672075,1.0,0.0,126
25,-131.29765372865165,-134.68842957239374,1.0,0.0,112
26,-123.52127392414164,-135.9771314536669,1.0,0.0,129
27,-200.69032517766885,-140.19940617249387,1.0,0.0,96
28,-106.00019541650212,-134.8933718960627,1.0,0.0,69
29,-168.20535593509965,-130.89675577517718,1.0,0.0,65
30,-335.1766396710366,-142.36029711899218,1.0,0.0,77
31,-156.6735324003818,-145.8936522051895,1.0,0.0,105
32,-283.5823914397,-154.33032921263595,1.0,0.0,140
33,-178.7369202494544,-157.43026522696636,1.0,0.0,104
34,-183.5343972954066,-161.61544011183938,1.0,0.0,127
35,-28.279795054145623,-157.4346703831201,1.0,0.0,106
36,-280.6813048673208,-162.38452310769225,1.0,0.0,123
37,-148.9659442784416,-167.76335202590113,1.0,0.0,96
38,-239.70918185693048,-175.63726640223513,1.0,0.0,98
39,-89.52255418072014,-175.58029207488016,1.0,0.0,70
40,-315.89233096505325,-187.1958439711285,1.0,0.0,91
41,-54.51967299864439,-183.2336186437898,1.0,0.0,83
42,-371.4484455059255,-195.91408727922834,1.0,0.0,93
43,-431.21399862177856,-198.40699725240194,1.0,0.0,80
44,-189.28537546314962,-200.84686445150766,1.0,0.0,72
45,-359.9497606454366,-212.27946979734693,1.0,0.0,65
46,-62.75757893488953,-209.24128504788433,1.0,0.0,114
47,-164.43777802144288,-207.42865769007298,1.0,0.0,79
48,-223.11117464116995,-213.2842066513064,1.0,0.0,74
49,-101.34399828206028,-209.9411387686544,1.0,0.0,137
50,-137.62527776827875,-200.06357067351652,1.0,0.0,80
