episode,reward,moving_avg_reward,epsilon,loss,steps
1,-138.10062760743148,-138.10062760743148,0.8841906593745332,1.656249225139618,65
2,-322.4471916015557,-230.27390960449358,0.7316129567117211,1.416652760883369,166
3,-85.07996586204214,-181.87592835700977,0.6250528701139131,1.3430895854445064,251
4,-208.6408526445277,-188.56715942888925,0.49874822510396394,1.5235262672987677,375
5,-98.49786523201242,-170.55330058951387,0.38983560453143146,1.3822875663959722,514
6,-300.00442622527066,-192.12848819547335,0.2632493172221047,1.411875104891384,747
7,21.156331009673874,-161.65922830902375,0.12845003964985952,1.1137117018997669,1247
8,-31.44510103898845,-145.38246240026933,0.07886015674626781,0.8476693112850189,1747
9,27.03509513744945,-126.22495600718948,0.06061705833593724,0.7693289473056794,2247
10,69.55624556517512,-106.646835849953,0.0539057974875092,0.7620890949368477,2747
11,23.733572365905093,-94.79407146669318,0.05143686259703371,0.7903348627686501,3247
12,52.861584005493384,-82.48943351067764,0.05052859220923691,0.7595431832969188,3747
13,-241.98648389242982,-94.75843738619703,0.050216635726569626,0.6556343020612349,4193
14,24.085905772685468,-86.26955573199113,0.050079695830028206,0.67602353733778,4693
15,35.83493237036347,-78.12925652516749,0.05002931845741447,0.60739728140831,5193
16,25.835122751514817,-71.63148282037486,0.050010785657729644,0.6573895450532437,5693
17,-25.432544966437234,-68.91389824073147,0.05000406420138961,0.6545510105788708,6181
18,41.77720161974192,-62.764392692927395,0.05000149513613602,0.6934687309265136,6681
19,17.657326601870647,-58.53167062478013,0.05000055002984619,0.7186033699214458,7181
20,58.42775325521875,-52.68369943078019,0.05000020234467245,0.7234893834590912,7681
21,70.68058809401677,-42.24463864570777,0.05000007443844503,0.7008682703077793,8181
22,15.110236829126375,-25.366767224173667,0.050000027384373556,0.6710536856353283,8681
23,73.51427670258695,-17.437055095942213,0.050000010074148046,0.6518439844846725,9181
24,27.479200692767282,-5.631052429077464,0.05000000370607195,0.6376115663349629,9681
25,52.43058347470992,1.9153700062586558,0.05000000136338768,0.6096543436944485,10181
26,22.234109617457086,18.027296798395042,0.0500000005015623,0.6327914044559002,10681
27,10.602674874919408,17.49961399165732,0.05000000018451446,0.6639602692127228,11181
28,56.77791551267997,21.91076481924074,0.05000000006787908,0.6533393149375916,11681
29,-64.36038172299041,17.34099097621875,0.05000000002497132,0.6541336664259434,12181
30,2.156833606850853,13.971020378302532,0.05000000000918644,0.5574552809298039,12681
31,-199.98271886258144,2.7852058168782095,0.05000000000585753,0.4581288050280677,12906
32,8.466942644319188,0.5654737488194989,0.05000000000215487,0.578290498495102,13406
33,-2.260825194183944,12.551756683731792,0.05000000000079273,0.6659312473833561,13906
34,-147.37889835845715,3.9785164771746593,0.050000000000557515,0.6478966663337566,14082
35,-24.104718525712205,0.9815339323708783,0.0500000000002051,0.6338397614955902,14582
36,6.4881026743602686,0.014182928513150107,0.050000000000075456,0.7001015995144844,15082
37,-6.50590472204064,0.9605149407329812,0.05000000000002776,0.6149182435870171,15582
38,46.78022547962595,1.2106661337271807,0.05000000000001022,0.6317097480297089,16082
39,-128.6029285439271,-6.102346623562705,0.05000000000000376,0.5681978027522564,16582
40,24.480938921913587,-7.7996873402279645,0.050000000000001384,0.6244855822622776,17082
41,81.10538849647389,-7.2784473201051085,0.05000000000000051,0.5663793662786484,17582
42,14.436124860573528,-7.312152918532749,0.05000000000000019,0.5113920353353023,18082
43,69.7355477367541,-7.501089366824393,0.05000000000000007,0.513338342398405,18582
44,101.35699802297887,-3.807199500313814,0.05000000000000003,0.6105693886578083,19082
45,82.09903515142084,-2.323776916478271,0.05000000000000001,0.5470306989550591,19582
46,-125.40965675816327,-9.705965235259288,0.05000000000000001,0.4060386839130568,19708
47,17.241331342444816,-9.374032411883016,0.05,0.4372923984229565,20208
48,61.88922425421914,-9.118466974806058,0.05,0.4695165682733059,20708
49,-116.39727481206471,-11.720311629259774,0.05,0.44694940477263095,20880
50,51.636626416208955,-9.246321988791868,0.05,0.4235438223481178,21380
