run_name,algo,env_id,seed,episodes,final_reward,mean_reward,best_moving_avg_reward,device
LunarLander-v3_phase4short_double_dqn_seed2026_20260620_164450,double_dqn,LunarLander-v3,2026,50,53.53257173849279,-25.7182944902447,11.041013524661334,cpu
LunarLander-v3_phase4short_double_dqn_seed2027_20260620_164606,double_dqn,LunarLander-v3,2027,50,-69.41187864618585,-8.201302217967832,49.150469160521666,cpu
LunarLander-v3_phase4short_dqn_seed2026_20260620_164225,dqn,LunarLander-v3,2026,50,51.636626416208955,-19.439487814186332,21.91076481924074,cpu
LunarLander-v3_phase4short_dqn_seed2027_20260620_164332,dqn,LunarLander-v3,2027,50,5.23157795017942,-24.04234371323615,43.51827017879034,cpu
LunarLander-v3_phase4short_random_seed2026_20260620_164217,random,LunarLander-v3,2026,50,-108.97606184894155,-164.89133462896876,-93.10518614601094,cpu
LunarLander-v3_phase4short_random_seed2027_20260620_164220,random,LunarLander-v3,2027,50,-137.62527776827875,-172.61296161015096,-129.4224672113828,cpu
